기관명,기관구분,지역코드,구시군코드,입찰주기,지난입찰일,입찰예상일,확정여부,경도,위도,출처,수정일
동두천시청,지자체,41,31080,4,,,,,,"월/일 미확보(lastBid 의도적 비움) — term 근거: 금고지정 결과 공고 2회차(2016-06-23 제2016-591호 · 2020-07-10 제2020-901호)로 4년 주기 실증(eminwon, 2026-08-10);lastBid를 비운 이유: 2024 회차가 게시판에 없음(다른 채널 게시 추정) — 2020 값을 넣으면 이미 지난 날짜가 계산된다(도봉·은평 선례)",2026-08-10
안산시청,지자체,41,31091,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
안산시청,지자체,41,31092,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
고양시청,지자체,41,31101,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
고양시청,지자체,41,31103,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
고양시청,지자체,41,31104,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
과천시청,지자체,41,31110,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
구리시청,지자체,41,31120,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
남양주시청,지자체,41,31130,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 금고 약정 금리 공고(2026-01-08)만 있음,2026-08-10
오산시청,지자체,41,31140,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
시흥시청,지자체,41,31150,,,,,,,"월/일 미확보 — 현재 금고가 농협중앙회라는 사실만 확인(연 약 1.6조 규모);http://m.shnews.net/news/articleView.html?idxno=56186;eminwon 직접조회 불가 — 시흥 eminwon은 고시공고 게시판 없이 ksign 로그인 전용(목록 API 404, 2026-08-10 확인). 공고는 시 홈페이지 게시판에 있을 것으로 추정",2026-08-10
군포시청,지자체,41,31160,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
의왕시청,지자체,41,31170,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
하남시청,지자체,41,31180,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
용인시청,지자체,41,31191,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 시금고 협력사업비 출연 계획 공개(2015-01-28)만 있음,2026-08-10
용인시청,지자체,41,31192,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 시금고 협력사업비 출연 계획 공개(2015-01-28)만 있음,2026-08-10
용인시청,지자체,41,31193,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 시금고 협력사업비 출연 계획 공개(2015-01-28)만 있음,2026-08-10
파주시청,지자체,41,31200,4,2025-05-14,,,,,"기준일=지정 공고일 — 「파주시 금고지정 공고」(제2025-1515호, 2025-05-14) 원문 확인(eminwon, 2026-08-10);지정금고 NH농협은행 파주시지부 · 약정 2026-01-01~2029-12-31(4년) — 공고 본문에 명시;같은 게시판에서 2011-10-11 시금고 지정 결과 공고도 확인. 조례의 4년 약정과도 일치;https://eminwon.paju.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do",2026-08-10
이천시청,지자체,41,31210,,,,,,,"월/일 미확보 — eminwon 조회(2026-08-10): 최근 지정 공고 없음 — 금고지정 결과 공고는 2011-08-02(제2011-1243호)가 마지막, 금리 공고(2026-01-08)는 있음. [이전 자료 보기] 아카이브가 따로 있어 추가 조회 여지 있음",2026-08-10
안성시청,지자체,41,31220,4,2024-05-10,,,,,"기준일=약정체결식 날짜(2024-05-10, 기사로 확인) — 공고일보다는 늦은 시점이라 실제 공고는 이보다 이르다;NH농협은행 안성시지부(단독 응모) · 약정 2025-01-01~2028-12-31(4년);https://www.m-i.kr/news/articleView.html?idxno=1119957",2026-08-10
김포시청,지자체,41,31230,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 금고 약정 금리 공고(2026-01-09)만 있음,2026-08-10
화성시청,지자체,41,31240,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 2016 회차만 있음 — 계획 공고(2016-09-26)·지정 공고(2016-11-17 제2016-3334호). 상세 본문에 약정기간 없음(첨부 hwp). 이후 회차는 다른 채널 게시 추정이라 lastBid 비움,2026-08-10
광주시청,지자체,41,31250,,,,,,,"월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 2012-07-20 지정 공고 의뢰가 마지막, 금리 공고(2026-01-12)는 있음",2026-08-10
양주시청,지자체,41,31260,4,2022-10-28,,,,,"기준일=지정 공고일 — 「양주시 금고 지정 공고」(제2022-2443호, 2022-10-28) 원문 확인(eminwon, 2026-08-10);NH농협은행 양주시지부 · 약정 2023-01-01~2026-12-31(4년) — 공고 본문에 명시. 다음 회차가 2026년 하반기로 임박;같은 게시판에서 계획 공고(2022-08-01)→재공고(2022-08-25)→지정(2022-10-28) 회차 전체 확인;https://eminwon.yangju.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do",2026-08-10
포천시청,지자체,41,31270,,,,,,,"월/일 미확보 — eminwon 조회(2026-08-10): 최근 지정 공고 없음 — 시금고 지정 공고는 2011-08-04가 마지막, 금리 공고(2026-01-08)는 있음;접속 주의: https 불가(인증서 오류) — http로 접속하면 eminwon.pcs21.net으로 넘어간다",2026-08-10
여주시청,지자체,41,31280,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 여주군 시절(2012-06-18) 지정 공고협조 의뢰가 마지막,2026-08-10
연천군청,지자체,41,31350,,,,,,,월/일 미확보 — 뉴스 검색으로 공고·지정 정보를 찾지 못함(2026-08-10 조사);eminwon 고시공고 제목검색(금고)에서도 지정 공고 0건(2026-08-10 직접조회),2026-08-10
가평군청,지자체,41,31370,,,,,,,"월/일 미확보 — eminwon 조회(2026-08-10): 「가평군 금고 지정 공고」(제2018-381호, 2018-03-20) 1건만 — 이후 회차가 게시판에 없어 lastBid 비움(도봉·은평 선례). 상세 본문에 약정기간 없음(첨부 hwp)",2026-08-10
양평군청,지자체,41,31380,,,,,,,월/일 미확보 — eminwon 조회(2026-08-10): 지정 공고 없음 — 금고지정 및 운영조례 입법예고(2013-01-04)만. [이전 자료 보기] 아카이브가 따로 있음,2026-08-10
